ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
HRB,"H&R Block, Inc.",2020-09-01 0:00,TNS,0.5,0.55,10.44,EDT,0,EQUITY
CLDR,"Cloudera, Inc.",2020-09-02 0:00,TNS,0.07,0.1,53.85,EDT,0,EQUITY
AAPL,Apple Inc.,2020-07-30 0:00,TNS,0.51,0.65,26.22,EDT,0,EQUITY
AXP,American Express Company,2020-07-24 0:00,TNS,-0.11,0.29,354.39,EDT,0,EQUITY
ROST,"Ross Stores, Inc.",2020-08-20 0:00,TNS,-0.27,0.06,122.56,EDT,0,EQUITY
FB,"Facebook, Inc.",2020-07-30 0:00,TNS,1.39,1.8,29.59,EDT,0,EQUITY
INTU,Intuit Inc.,2020-08-25 0:00,TNS,1.05,1.81,72.22,EDT,0,EQUITY
ZG,"Zillow Group, Inc.",2020-08-06 0:00,TNS,-0.48,-0.17,64.66,EDT,0,EQUITY
WIX,Wix.com Ltd.,2020-08-06 0:00,TNS,0.24,-0.26,-207.44,EDT,0,EQUITY
SMAR,Smartsheet Inc.,2020-09-02 0:00,TNS,-0.16,-0.06,62.73,EDT,0,EQUITY
ETSY,"Etsy, Inc.",2020-08-05 0:00,TNS,0.39,0.75,92.31,EDT,0,EQUITY
MMM,3M Company,2020-07-28 0:00,TNS,1.8,1.78,-1.17,EDT,0,EQUITY
O,Realty Income Corporation,2020-08-03 0:00,TNS,0.32,0.31,-2.21,EDT,0,EQUITY
NFLX,"Netflix, Inc.",2020-07-16 0:00,TNS,1.81,1.59,-12.25,EDT,0,EQUITY
BOX,"Box, Inc.",2020-08-26 0:00,TNS,0.12,0.18,45.16,EDT,0,EQUITY
CLX,The Clorox Company,2020-08-03 0:00,TNS,1.99,2.41,20.86,EDT,0,EQUITY
TSLA,"Tesla, Inc.",2020-07-22 0:00,TNS,0.01,0.44,7166.67,EDT,0,EQUITY
M,"Macy's, Inc.",2020-09-02 0:00,TNS,-1.77,-0.81,54.19,EDT,0,EQUITY
WYNN,"Wynn Resorts, Limited",2020-08-04 0:00,TNS,-4.98,-6.14,-23.29,EDT,0,EQUITY
GOOG,Alphabet Inc.,2020-07-30 0:00,TNS,8.34,10.13,21.43,EDT,0,EQUITY
NIO,NIO Limited,2020-08-11 0:00,TNS,-1.84,-1.08,41.21,EDT,0,EQUITY
CVS,CVS Health Corporation,2020-08-05 0:00,TNS,1.93,2.64,36.86,EDT,0,EQUITY
MCD,McDonald's Corporation,2020-07-28 0:00,TNS,0.75,0.66,-11.41,EDT,0,EQUITY
LULU,Lululemon Athletica Inc.,2020-09-08 0:00,TNS,0.56,0.74,33.33,EDT,0,EQUITY
BAM,Brookfield Asset Management Inc.,2020-08-13 0:00,TNS,0.39,-0.43,-209.41,EDT,0,EQUITY
FVRR,Fiverr International Ltd.,2020-08-05 0:00,TNS,-0.06,0.1,266.67,EDT,0,EQUITY
BLNK,Blink Charging Co.,2020-08-13 0:00,TNS,-0.1,-0.11,-10,EDT,0,EQUITY
BLK,"BlackRock, Inc.",2020-07-17 0:00,TNS,6.99,7.85,12.26,EDT,0,EQUITY
PENN,"Penn National Gaming, Inc.",2020-08-06 0:00,TNS,-2.11,-1.69,19.87,EDT,0,EQUITY
DE,Deere & Company,2020-08-21 0:00,TNS,1.26,2.57,103.65,EDT,0,EQUITY
WEN,The Wendy's Company,2020-08-05 0:00,TNS,0.11,0.12,11.11,EDT,0,EQUITY
TREE,"LendingTree, Inc.",2020-08-04 0:00,TNS,-0.04,0.46,1310.53,EDT,0,EQUITY
UNH,UnitedHealth Group Incorporated,2020-07-15 0:00,TNS,5.28,7.12,34.93,EDT,0,EQUITY
ENPH,"Enphase Energy, Inc.",2020-08-04 0:00,TNS,0.14,0.17,17.24,EDT,0,EQUITY
AZPN,"Aspen Technology, Inc.",2020-08-12 0:00,TNS,1.18,1.54,31.06,EDT,0,EQUITY
BBBY,Bed Bath & Beyond Inc.,2020-07-08 0:00,TNS,-1.22,-1.96,-60.39,EDT,0,EQUITY
ETFC,E*TRADE Financial Corporation,2020-07-23 0:00,TNS,0.76,0.88,15.33,EDT,0,EQUITY
SBUX,Starbucks Corporation,2020-07-28 0:00,TNS,-0.59,-0.46,22.3,EDT,0,EQUITY
VMW,"VMware, Inc.",2020-08-27 0:00,TNS,1.45,1.81,24.74,EDT,0,EQUITY
LOGI,Logitech International S.A.,2020-07-20 0:00,TNS,0.34,0.64,89.35,EDT,0,EQUITY
PZZA,"Papa John's International, Inc.",2020-08-06 0:00,TNS,0.45,0.48,7.14,EDT,0,EQUITY
DIS,The Walt Disney Company,2020-08-04 0:00,TNS,-0.64,0.08,112.48,EDT,0,EQUITY
V,Visa Inc.,2020-07-28 0:00,TNS,1.03,1.07,3.98,EDT,0,EQUITY
KR,Kroger Co,2020-09-11 12:30,BMO,0.55,,,EDT,-14400000,EQUITY
CAT,Caterpillar Inc.,2020-07-31 0:00,TNS,0.64,1.03,59.94,EDT,0,EQUITY
UPWK,Upwork Inc.,2020-08-04 0:00,TNS,-0.09,-0.09,4.26,EDT,0,EQUITY
